	mask_image	intensity_image	label	INTEGRATED_INTENSITY	MEAN	MEDIAN	MIN	MAX	RANGE	STANDARD_DEVIATION	STANDARD_ERROR	SKEWNESS	KURTOSIS	HYPERSKEWNESS	HYPERFLATNESS	MEAN_ABSOLUTE_DEVIATION	ENERGY	ROOT_MEAN_SQUARED	ENTROPY	MODE	UNIFORMITY	P01	P10	P25	P75	P90	P99	INTERQUARTILE_RANGE	ROBUST_MEAN_ABSOLUTE_DEVIATION
0	Segmentation0	Intensity0	1	13551666.0	39857.84117647059	40808.0	15574.0	53408.0	37834.0	7546.332860689171	409.2573605803178	-0.6001905551378834	-0.13421644287221124	-4.263833626860322	13.472124942856919	6073.090207612447	559445231444.0	40563.86509328077	2.8148939126983406	33567.0	1028.0	20000.578	29572.58	34743.22666666667	45387.191999999995	49138.16285714286	51788.7048	10643.965333333326	7206.47619047619
1	Segmentation0	Intensity0	2	1791687.0	20833.56976744186	20118.5	9264.0	31107.0	21843.0	4687.393630581541	505.4546542817411	0.30613139632360303	-0.13002363067391665	1.2967815675385717	11.002560644346962	3697.1741481882054	39194827135.0	21348.39113130891	2.4623426344699286	18671.0	284.0	9451.8498	15849.664499999999	18256.035000000003	23598.46875	27568.434	31044.3834	5342.4337499999965	3744.5142857142855
2	Segmentation0	Intensity0	3	4691295.0	29505.0	27388.0	7279.0	54699.0	47420.0	13177.494963724605	1045.0433276774656	0.2079918662380491	-1.2598011562922593	0.7598844917063527	3.697055286803021	11627.723270440252	165852785991.0	32297.047588940142	2.907462425871681	12529.0	285.0	8032.978	13623.795999999998	18256.73	42488.35	48076.00666666666	54084.911	24231.62	8891.25
3	Segmentation0	Intensity0	4	626829.0	20220.290322580644	18919.0	11079.0	31858.0	20779.0	5752.950003801228	1033.2603229776555	0.2452286544384927	-0.9347855944268155	1.1296183028628295	5.130951227447589	4926.041623309053	13667557375.0	20997.35572829696	2.346295218312232	17311.0	43.0	11143.4149	12440.0245	16014.0125	25052.877500000002	28304.790999999997	31793.5851	9038.865000000002	3463.166666666666
4	Segmentation0	Intensity0	5	5015224.0	32566.38961038961	29803.5	11079.0	64090.0	53011.0	14730.968317107667	1187.0552552255667	0.4502567597044948	-1.072111279289909	1.9782930866053812	5.126659243028459	12833.084499915669	196528957184.0	35723.41052638121	2.898016861688313	19552.0	322.0	11895.369400000001	16107.472	19074.825833333332	45801.205	53381.778	63416.7603	26726.37916666667	9939.5625
5	Segmentation0	Intensity0	6	10398287.0	31702.094512195123	32325.0	14550.0	50741.0	36191.0	7396.454857492876	408.40089872832493	-0.07630181684613989	-0.3477414028724115	0.03800755400688425	9.502327211807629	5904.91307257585	347536844277.0	32550.93776874946	2.858806089257095	32325.0	1992.0	16098.9748	21040.252666666667	27072.086000000003	36823.91545454546	40993.55733333333	48156.9626	9751.829454545456	6893.52380952381
6	Segmentation0	Intensity0	7	6556016.0	34687.915343915345	33450.0	5955.0	65458.0	59503.0	17196.393041925083	1250.8535364259303	0.18379531118451167	-1.2834675689672348	0.7962100245870661	3.666578139766151	15255.689090450995	283009123528.0	38696.28884000917	3.127624065724159	65458.0	469.0	7674.636699999999	13065.6085	18574.59458333333	49912.84125	57782.113	65345.53932999999	31338.246666666666	11333.90476190476
7	Segmentation0	Intensity0	8	7256730.0	29619.30612244898	27416.0	14550.0	52905.0	38355.0	8750.792225035455	559.0676077758833	0.7360571411260479	-0.12820879376057404	4.169674464836704	11.775554171450437	6979.886380674721	233623940272.0	30879.881851312522	2.892435461112248	25403.0	1139.0	15211.623749999999	20495.025	23419.59375	34374.740625	43268.30625	50709.176250000004	10955.146874999999	7305.714285714288
8	Segmentation0	Intensity0	9	260873.0	16304.5625	16666.0	10588.0	19552.0	8964.0	2617.9269398705533	654.4817349676383	-0.6846183169081695	-0.3125023606333488	-3.3826871875777167	8.575200580749453	2066.671875	4356223255.0	16500.42282602176	2.1084585933443494	16666.0	28.0	10602.3424	12076.024	14980.36	18834.879999999997	19480.288	19544.828800000003	3854.519999999997	1792.8000000000006
9	Segmentation0	Intensity0	10	18201800.0	42627.1662763466	44018.0	15131.0	58881.0	43750.0	8422.695456282543	407.60280164558105	-0.5696240504229882	-0.3192085135911964	-3.741462749117652	12.176426061756555	6918.133165870478	806112361396.0	43449.40694021812	2.8669103572997487	33389.0	1559.0	22249.125	29973.1875	37159.125	48927.875	52679.4375	56634.4375	11768.75	8750.0
10	Segmentation0	Intensity0	11	10207084.0	42004.46090534979	45715.0	14973.0	55337.0	40364.0	10090.737179612337	647.3210918856608	-1.0034830309214398	0.05630173112004577	-5.830676901456119	14.425551321249804	8187.27588951548	453384221228.0	43194.66041284582	2.813410266265062	49028.0	653.0	17049.055066666668	26396.012000000002	36265.009999999995	49338.461111111115	52020.424666666666	54759.794799999996	13073.45111111112	7688.380952380951
11	Segmentation0	Intensity0	12	12078873.0	39602.86229508197	39142.0	16727.0	57866.0	41139.0	9085.493449691989	520.2338415713193	-0.1398668702986082	-0.6170677815044612	-1.1465049858611331	7.6967939551014215	7441.623972050525	503451986231.0	40628.342938614966	2.9750845550504494	35906.0	745.0	19215.9095	27525.9875	33619.701875	47324.131250000006	51660.8675	56827.24025	13704.429375000007	7836.0
12	Segmentation0	Intensity0	13	2278535.0	21495.61320754717	22028.5	5294.0	34456.0	29162.0	7528.912513100356	731.2726282899075	-0.18854078063596227	-1.0238079199135808	-1.0232635891614303	5.143378772435499	6465.790316838736	54930382021.0	22764.25160512661	2.896725791724981	11566.0	230.0	5894.7372	11607.573	15427.795	27991.756666666668	30577.454	34146.8828	12563.961666666668	5467.875
13	Segmentation0	Intensity0	14	14578969.0	45559.278125	49157.5	0.0	63067.0	63067.0	13084.469815706734	731.4440989366101	-0.933701872200117	0.03832143565742463	-5.930206392716633	16.08625347112476	10649.738808593753	718821172211.0	47395.317945545794	2.6644894031281137	39077.0	950.0	12991.802	23965.46	37335.664	55893.128749999996	59168.31272727272	62373.263	18557.46475	12012.761904761903
14	Segmentation0	Intensity0	15	9662772.0	35921.08550185874	38289.0	13657.0	54310.0	40653.0	9684.016963462649	590.4449350874139	-0.43611962088424266	-0.6512309392516245	-1.9064114776869063	7.059677132455743	7932.9230386534255	372230348656.0	37198.87018390623	2.982158136239626	31886.0	957.0	16236.432850000001	20141.1535	28952.691249999996	42706.956249999996	47488.4266	53216.43429999999	13754.265	7743.428571428572
15	Segmentation0	Intensity0	16	4782409.0	36506.93893129771	36921.0	17348.0	57334.0	39986.0	11192.485633574894	977.8920102174772	-0.04805678840370289	-1.2205494306056885	-0.10577148371702422	3.740091174048794	9740.215138977917	190876438813.0	38171.613170098455	2.945389234177255	19431.0	187.0	17809.8383	20366.943	26644.745000000003	46987.6225	50896.25400000001	56410.323399999994	20342.877499999995	7497.375
16	Segmentation0	Intensity0	17	1175013.0	31757.108108108107	30315.0	12955.0	49876.0	36921.0	11992.556220848423	1971.5640979100435	0.035404894125834384	-1.3938008376549105	0.005160976147696589	2.7519484230074367	10552.867786705625	42492585439.0	33888.76296219896	2.526794420597021	36811.0	43.0	13091.6077	15059.497	20800.7125	43507.127499999995	47716.1215	49739.3923	22706.414999999994	6153.5
17	Segmentation0	Intensity0	18	14000332.0	34230.64058679707	35585.0	13657.0	54042.0	40385.0	10290.57472196041	508.8361717227112	-0.21320540989144435	-1.0604078567143036	-0.8718969262675157	4.838645393995493	8879.275865161007	522445871456.0	35740.36609830789	3.224092528225547	33571.0	1973.0	14342.198833333334	19383.593	25797.740625	43250.890441176474	46942.31700000001	52408.42674999999	17453.149816176476	8077.0
18	Segmentation0	Intensity0	19	11579424.0	25063.68831168831	24590.5	9926.0	40234.0	30308.0	5212.8321880795165	242.5229021232451	0.23528393455653063	-0.09133359601906044	1.2096845132652452	13.347119676578368	4196.262495080675	302750112518.0	25598.892043377284	2.797210035297739	23608.0	2154.0	13202.2948	18977.98933333333	21114.70333333333	28489.649999999998	32159.9488	37318.3704	7374.946666666667	6061.600000000002
19	Segmentation0	Intensity0	20	6031825.0	35481.32352941176	36484.5	12646.0	51776.0	39130.0	8716.878407935548	668.5540550926171	-0.6448043649953753	-0.18832627128974355	-3.862873792412728	11.351594402279368	6939.25813148788	226858425089.0	36530.2795507089	2.759671192650106	33169.0	464.0	14302.503333333334	22428.5	31232.75	41920.13125	45515.200000000004	49936.89000000001	10687.381249999999	7336.875
20	Segmentation0	Intensity0	21	5784797.0	31610.912568306012	31895.0	11566.0	56222.0	44656.0	10194.716899044051	753.6151583133405	0.11065767191050808	-0.7323134483489246	0.8880720353664061	7.0000849014902204	8447.477798680166	201778382175.0	33205.63371245762	3.0285643765815644	15338.0	315.0	12383.2048	17862.496	23958.04	39141.08	44864.49066666667	55404.79519999999	15183.04	8505.904761904761
21	Segmentation0	Intensity0	22	30915603.0	32923.964856230035	32727.0	14794.0	52584.0	37790.0	6951.213763553104	226.84428795135133	-0.0098739979119485	-0.6752421523066214	0.01457891150208997	7.71813937336691	5733.374155770367	1063187798355.0	33649.00260497931	3.039910608058894	27425.0	5945.0	18342.481	23481.50111111111	27867.886538461535	38451.65147058824	42123.255625	46768.119000000006	10583.764932126702	7634.3434343434365
22	Segmentation0	Intensity0	23	14230102.0	28805.874493927124	28870.0	13081.0	47590.0	34509.0	6968.954308254923	313.5480777582287	0.06578606426099638	-0.6408572100815073	0.6756821123754206	7.975254453279466	5801.7545608024975	433853730054.0	29635.222575735115	3.038728537284927	31891.0	1876.0	15130.834599999998	19582.4956	23347.427499999998	33930.1875	37910.2255	44836.1818	10582.760000000002	6901.799999999999
23	Segmentation0	Intensity0	24	7103670.0	33666.68246445498	33973.0	19012.0	46718.0	27706.0	6046.255358139772	416.24138467001217	-0.05177029894431731	-0.6927738663253771	-0.3325000579768431	7.140519198520617	4982.81148222187	246834015032.0	34202.76969965974	2.9529412364361742	28208.0	567.0	21258.9566	25536.763000000003	29193.954999999998	37699.697	41723.9935	45856.3434	8505.742000000002	5277.333333333333
